"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Nenes",212
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Nenes",64
2020,1,"Ciutat Vella",3,"la Barceloneta","Nenes",40
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nenes",61
2020,2,"Eixample",5,"el Fort Pienc","Nenes",91
2020,2,"Eixample",6,"la Sagrada Família","Nenes",160
2020,2,"Eixample",7,"la Dreta de l'Eixample","Nenes",117
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nenes",146
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nenes",175
2020,2,"Eixample",10,"Sant Antoni","Nenes",136
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Nenes",152
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nenes",5
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Nenes",99
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nenes",23
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Nenes",58
2020,3,"Sants-Montjuïc",16,"la Bordeta","Nenes",76
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Nenes",83
2020,3,"Sants-Montjuïc",18,"Sants","Nenes",159
2020,4,"Les Corts",19,"les Corts","Nenes",148
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nenes",84
2020,4,"Les Corts",21,"Pedralbes","Nenes",47
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nenes",22
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nenes",96
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nenes",68
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nenes",100
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nenes",181
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nenes",110
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Nenes",61
2020,6,"Gràcia",29,"el Coll","Nenes",21
2020,6,"Gràcia",30,"la Salut","Nenes",40
2020,6,"Gràcia",31,"la Vila de Gràcia","Nenes",191
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nenes",152
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Nenes",89
2020,7,"Horta-Guinardó",34,"Can Baró","Nenes",32
2020,7,"Horta-Guinardó",35,"el Guinardó","Nenes",122
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nenes",36
2020,7,"Horta-Guinardó",37,"el Carmel","Nenes",108
2020,7,"Horta-Guinardó",38,"la Teixonera","Nenes",42
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nenes",32
2020,7,"Horta-Guinardó",40,"Montbau","Nenes",15
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nenes",16
2020,7,"Horta-Guinardó",42,"la Clota","Nenes",1
2020,7,"Horta-Guinardó",43,"Horta","Nenes",86
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nenes",80
2020,8,"Nou Barris",45,"Porta","Nenes",78
2020,8,"Nou Barris",46,"el Turó de la Peira","Nenes",69
2020,8,"Nou Barris",47,"Can Peguera","Nenes",2
2020,8,"Nou Barris",48,"la Guineueta","Nenes",42
2020,8,"Nou Barris",49,"Canyelles","Nenes",14
2020,8,"Nou Barris",50,"les Roquetes","Nenes",83
2020,8,"Nou Barris",51,"Verdun","Nenes",59
2020,8,"Nou Barris",52,"la Prosperitat","Nenes",82
